Uuid,Privilege name,Description
,o3: View Visit Notes,View Visit Notes
,o3: Add Visit Notes,Add Visit Notes
,o3: Edit Visit Notes,Edit Visit Notes
,o3: Delete Visit Notes,Delete Visit Notes
,o3: View Encounters,View Encounters
,o3: Delete Encounters,Delete Encounters
,o3: Edit Encounters,Edit Encounters
,o3: Delete Visit,Delete Visit
,o3: Edit Visit,Edit Visit
,o3: View Queue Screen Dashboard,Allows the user to view Queue Screen
,o3: View Patient Vitals and Biometrics,View the patient chart vitals and biometrics dashboard
,o3: View Patient Forms,o3: View Patient Forms
deb8c81d-5fec-11f1-b15f-729618c35d46,o3: View Patient Chart Admissions,View Patient Chart Admissions
cf9b2b56-5fec-11f1-b15f-729618c35d46,o3: View Patient Chart Diagnoses,View Patient Chart Diagnoses
da3d4d48-5fec-11f1-b15f-729618c35d46,o3: View Patient Chart Procedures,View Patient Chart Procedures
d56c57a2-5fec-11f1-b15f-729618c35d46,o3: View Patient Chart Radiology and Imaging,View Patient Chart Radiology and Imaging
